Jurusan,IPK,Bidang_Minat,Keahlian_1,Keahlian_2,Keahlian_3,Kepemimpinan,Komunikasi,Kerja_Tim,Kreativitas,Berpikir_Kritis,Pemecahan_Masalah,Pengalaman_Magang,Pengalaman_Organisasi,Pengalaman_Kompetisi,Jumlah_Sertifikasi,Gaya_Kerja,Preferensi_Industri,Tujuan_Karier,Rekomendasi_Karier
Pgsd,3.78,Kesehatan,Desain Grafis,Machine Learning,Manajemen Proyek,2.0,4.0,2.0,5.0,3.0,5.0,Tidak,Tidak,Tidak,5.0,Onsite,Manufaktur,Peneliti,Analis Data
Psikologi,3.37,Keuangan,Kepemimpinan,Manajemen Proyek,Komunikasi,4.0,5.0,5.0,4.0,3.0,1.0,Tidak,Tidak,Ya,3.0,Remote,Pemerintahan,Peneliti,Perawat
Ilmu Komunikasi,3.85,Manufaktur,Riset,Python,Riset,2.0,1.0,3.0,4.0,4.0,5.0,Ya,Tidak,Tidak,3.0,Remote,Kesehatan,Peneliti,Business Analyst
Pendidikan Bahasa Inggris,3.61,Manufaktur,Pemasaran Digital,Machine Learning,Manajemen Proyek,5.0,5.0,3.0,4.0,5.0,3.0,Tidak,Tidak,Tidak,2.0,Hybrid,Pendidikan,Spesialis,Diplomat
Keperawatan,3.14,Pertanian,Analisis Data,Komunikasi,Komunikasi,4.0,3.0,5.0,5.0,5.0,3.0,Ya,Ya,Tidak,1.0,Hybrid,Keuangan,Peneliti,Data Scientist
Peternakan,2.91,Teknologi,Python,Riset,Kepemimpinan,2.0,4.0,1.0,1.0,5.0,3.0,Tidak,Tidak,Tidak,2.0,Remote,Teknologi,Peneliti,Analis Data
Arsitektur,3.37,Kesehatan,Desain Grafis,Manajemen Proyek,Sql,5.0,1.0,2.0,2.0,5.0,3.0,Ya,Ya,Ya,4.0,Hybrid,Konsultan,Manajer,Konsultan
Hukum,3.23,Media,Kepemimpinan,Pemasaran Digital,Desain Grafis,3.0,5.0,5.0,3.0,5.0,1.0,Ya,Ya,Tidak,5.0,Remote,Keuangan,Manajer,Software Engineer
Teknologi Pangan,2.84,Teknologi,Desain Grafis,Manajemen Proyek,Pemasaran Digital,4.0,3.0,1.0,2.0,3.0,3.0,Tidak,Ya,Ya,3.0,Onsite,Konsultan,Manajer,Akuntan
Statistika,3.43,Keuangan,Kepemimpinan,Analisis Data,Sql,1.0,2.0,3.0,5.0,5.0,3.0,Tidak,Tidak,Tidak,5.0,Hybrid,Pariwisata,Peneliti,Arsitek
Peternakan,3.37,Kesehatan,Pemasaran Digital,Python,Desain Grafis,3.0,5.0,3.0,1.0,1.0,3.0,Ya,Tidak,Ya,1.0,Hybrid,Pertanian,Wirausaha,Dokter
Kedokteran,3.37,Pariwisata,Manajemen Proyek,Sql,Manajemen Proyek,3.0,4.0,3.0,3.0,1.0,2.0,Tidak,Tidak,Tidak,2.0,Onsite,Pariwisata,Spesialis,Guru
Teknik Industri,3.14,Pemerintahan,Sql,Desain Grafis,Riset,1.0,5.0,4.0,4.0,1.0,2.0,Tidak,Tidak,Tidak,0.0,Remote,Manufaktur,Manajer,Dokter
Hukum,3.85,Media,Sql,Python,Pemasaran Digital,2.0,2.0,3.0,5.0,1.0,5.0,Tidak,Ya,Ya,0.0,Hybrid,Kesehatan,Manajer,Guru
Hubungan Internasional,3.39,Manufaktur,Desain Grafis,Manajemen Proyek,Manajemen Proyek,2.0,4.0,5.0,2.0,4.0,2.0,Ya,Ya,Tidak,3.0,Hybrid,Pertanian,Peneliti,Analis Data
Hukum,3.1,Manufaktur,Pemasaran Digital,Pemasaran Digital,Manajemen Proyek,2.0,4.0,5.0,4.0,3.0,3.0,Tidak,Tidak,Tidak,1.0,Onsite,Pendidikan,Wirausaha,Business Analyst
Pgsd,2.8,Media,Desain Grafis,Desain Grafis,Analisis Data,4.0,1.0,2.0,5.0,5.0,3.0,Ya,Tidak,Ya,4.0,Hybrid,Teknologi,Manajer,Akuntan
Kimia,2.84,Manufaktur,Machine Learning,Pemasaran Digital,Desain Grafis,1.0,3.0,5.0,4.0,3.0,3.0,Ya,Ya,Ya,5.0,Onsite,Manufaktur,Manajer,Diplomat
Teknik Industri,3.29,Kesehatan,Sql,Manajemen Proyek,Kepemimpinan,3.0,1.0,1.0,3.0,1.0,3.0,Tidak,Tidak,Tidak,1.0,Remote,Pertanian,Wirausaha,Animator
Kedokteran,2.96,Kesehatan,Pemasaran Digital,Desain Grafis,Pemasaran Digital,2.0,4.0,5.0,2.0,2.0,4.0,Tidak,Tidak,Tidak,5.0,Remote,Media,Peneliti,Jurnalis
Peternakan,2.95,Keuangan,Machine Learning,Pemasaran Digital,Kepemimpinan,4.0,3.0,4.0,3.0,3.0,4.0,Tidak,Ya,Ya,3.0,Onsite,Pemerintahan,Peneliti,Diplomat
Hubungan Internasional,2.78,Pariwisata,Kepemimpinan,Python,Pemasaran Digital,1.0,5.0,4.0,3.0,2.0,5.0,Tidak,Ya,Ya,4.0,Hybrid,Keuangan,Spesialis,Jurnalis
Teknik Elektro,3.14,Media,Python,Pemasaran Digital,Machine Learning,2.0,1.0,3.0,3.0,4.0,2.0,Ya,Ya,Tidak,4.0,Onsite,Manufaktur,Manajer,Dokter
Arsitektur,3.96,Manufaktur,Analisis Data,Sql,Manajemen Proyek,1.0,2.0,2.0,4.0,5.0,3.0,Ya,Tidak,Ya,2.0,Onsite,Kesehatan,Wirausaha,Perawat
Hukum,3.48,Pemerintahan,Sql,Komunikasi,Manajemen Proyek,1.0,5.0,5.0,3.0,5.0,2.0,Ya,Tidak,Tidak,5.0,Hybrid,Kesehatan,Manajer,Data Scientist
Teknik Elektro,3.13,Media,Sql,Sql,Komunikasi,5.0,2.0,4.0,4.0,3.0,5.0,Tidak,Ya,Tidak,5.0,Remote,Media,Wirausaha,Dokter
Teknik Elektro,3.61,Pendidikan,Manajemen Proyek,Manajemen Proyek,Komunikasi,3.0,1.0,3.0,5.0,3.0,1.0,Tidak,Tidak,Ya,0.0,Hybrid,Kesehatan,Manajer,Jurnalis
Teknik Lingkungan,3.5,Teknologi,Python,Machine Learning,Kepemimpinan,2.0,5.0,2.0,1.0,5.0,2.0,Ya,Ya,Tidak,1.0,Onsite,Teknologi,Peneliti,Analis Data
Kimia,3.98,Pertanian,Kepemimpinan,Analisis Data,Sql,1.0,2.0,1.0,3.0,2.0,5.0,Tidak,Ya,Ya,2.0,Remote,Keuangan,Wirausaha,Arsitek
Statistika,3.68,Media,Manajemen Proyek,Machine Learning,Riset,5.0,1.0,4.0,5.0,2.0,5.0,Ya,Tidak,Tidak,5.0,Remote,Teknologi,Wirausaha,Analis Data
Pendidikan Bahasa Inggris,3.28,Kesehatan,Manajemen Proyek,Manajemen Proyek,Sql,1.0,3.0,5.0,2.0,1.0,2.0,Tidak,Tidak,Tidak,4.0,Onsite,Manufaktur,Wirausaha,Arsitek
Tata Boga,3.29,Kesehatan,Riset,Komunikasi,Desain Grafis,4.0,2.0,4.0,3.0,4.0,4.0,Ya,Ya,Tidak,3.0,Hybrid,Manufaktur,Peneliti,Software Engineer
Arsitektur,2.83,Kesehatan,Sql,Desain Grafis,Sql,3.0,2.0,5.0,1.0,5.0,5.0,Tidak,Ya,Tidak,2.0,Onsite,Pariwisata,Spesialis,Dokter
Tata Boga,3.14,Kesehatan,Pemasaran Digital,Riset,Komunikasi,2.0,4.0,2.0,1.0,3.0,5.0,Tidak,Ya,Tidak,4.0,Remote,Pariwisata,Spesialis,Animator
Ilmu Komunikasi,2.79,Manufaktur,Kepemimpinan,Machine Learning,Machine Learning,1.0,2.0,2.0,3.0,4.0,1.0,Ya,Ya,Ya,5.0,Onsite,Pendidikan,Wirausaha,Akuntan
Film,3.18,Pemerintahan,Kepemimpinan,Machine Learning,Pemasaran Digital,5.0,1.0,1.0,2.0,2.0,5.0,Ya,Ya,Tidak,3.0,Onsite,Pariwisata,Wirausaha,Animator
Animasi,3.27,Pendidikan,Riset,Sql,Machine Learning,4.0,1.0,3.0,5.0,4.0,5.0,Tidak,Ya,Ya,3.0,Onsite,Teknologi,Spesialis,Business Analyst
Administrasi Publik,3.93,Keuangan,Kepemimpinan,Kepemimpinan,Machine Learning,1.0,1.0,4.0,4.0,2.0,2.0,Tidak,Ya,Tidak,0.0,Hybrid,Teknologi,Wirausaha,Data Scientist
Film,3.9,Pemerintahan,Pemasaran Digital,Desain Grafis,Pemasaran Digital,4.0,4.0,3.0,1.0,4.0,1.0,Tidak,Ya,Tidak,5.0,Hybrid,Kesehatan,Wirausaha,Analis Data
Matematika,3.05,Konsultan,Desain Grafis,Riset,Sql,4.0,3.0,3.0,2.0,3.0,2.0,Ya,Ya,Ya,2.0,Hybrid,Keuangan,Manajer,Ai Engineer
Kimia,3.07,Keuangan,Pemasaran Digital,Analisis Data,Sql,2.0,4.0,4.0,5.0,5.0,4.0,Tidak,Tidak,Ya,3.0,Remote,Media,Wirausaha,Jurnalis
Perhotelan,3.44,Teknologi,Manajemen Proyek,Pemasaran Digital,Komunikasi,3.0,5.0,4.0,5.0,2.0,1.0,Ya,Ya,Tidak,5.0,Remote,Pertanian,Manajer,Data Scientist
Psikologi,3.63,Media,Riset,Riset,Pemasaran Digital,2.0,3.0,3.0,3.0,4.0,4.0,Tidak,Ya,Tidak,0.0,Hybrid,Kesehatan,Wirausaha,Dokter
Hukum,3.65,Konsultan,Analisis Data,Machine Learning,Sql,5.0,2.0,3.0,3.0,3.0,2.0,Ya,Tidak,Tidak,5.0,Hybrid,Keuangan,Spesialis,Jurnalis
Dkv,3.39,Teknologi,Machine Learning,Kepemimpinan,Analisis Data,2.0,3.0,4.0,2.0,2.0,2.0,Ya,Ya,Tidak,0.0,Onsite,Pertanian,Spesialis,Jurnalis
Manajemen,3.85,Konsultan,Analisis Data,Pemasaran Digital,Desain Grafis,2.0,2.0,2.0,5.0,2.0,4.0,Ya,Tidak,Tidak,5.0,Onsite,Pendidikan,Wirausaha,Animator
Hubungan Internasional,3.69,Media,Komunikasi,Riset,Komunikasi,3.0,4.0,2.0,3.0,5.0,4.0,Tidak,Tidak,Tidak,4.0,Onsite,Pariwisata,Manajer,Analis Data
Keperawatan,3.75,Keuangan,Kepemimpinan,Python,Manajemen Proyek,3.0,3.0,1.0,5.0,1.0,3.0,Ya,Ya,Tidak,3.0,Onsite,Keuangan,Wirausaha,Ai Engineer
Kesehatan Masyarakat,3.77,Pemerintahan,Python,Desain Grafis,Python,4.0,5.0,3.0,2.0,4.0,1.0,Tidak,Ya,Ya,2.0,Remote,Pemerintahan,Manajer,Software Engineer
Teknik Elektro,3.11,Media,Analisis Data,Manajemen Proyek,Manajemen Proyek,5.0,1.0,1.0,1.0,3.0,2.0,Ya,Tidak,Ya,2.0,Remote,Manufaktur,Spesialis,Data Scientist
Psikologi,3.27,Konsultan,Manajemen Proyek,Sql,Sql,4.0,5.0,5.0,1.0,5.0,5.0,Ya,Ya,Tidak,3.0,Remote,Konsultan,Peneliti,Business Analyst
Pariwisata,3.27,Kesehatan,Riset,Machine Learning,Sql,5.0,5.0,5.0,5.0,5.0,1.0,Tidak,Tidak,Tidak,5.0,Hybrid,Pemerintahan,Peneliti,Diplomat
Sistem Informasi,3.2,Kesehatan,Machine Learning,Komunikasi,Sql,5.0,3.0,2.0,1.0,3.0,5.0,Tidak,Ya,Tidak,5.0,Hybrid,Keuangan,Manajer,Ai Engineer
Film,2.8,Pendidikan,Python,Komunikasi,Python,3.0,3.0,5.0,4.0,5.0,4.0,Tidak,Ya,Ya,2.0,Hybrid,Teknologi,Peneliti,Dokter
Statistika,3.75,Pariwisata,Desain Grafis,Manajemen Proyek,Desain Grafis,3.0,2.0,4.0,4.0,3.0,5.0,Tidak,Ya,Tidak,0.0,Hybrid,Konsultan,Manajer,Arsitek
Teknik Lingkungan,3.26,Pertanian,Analisis Data,Python,Analisis Data,5.0,4.0,1.0,2.0,1.0,2.0,Tidak,Tidak,Tidak,4.0,Remote,Konsultan,Manajer,Jurnalis
Animasi,3.94,Pemerintahan,Manajemen Proyek,Sql,Pemasaran Digital,2.0,5.0,3.0,4.0,3.0,3.0,Ya,Ya,Ya,5.0,Hybrid,Media,Wirausaha,Arsitek
Statistika,3.08,Manufaktur,Manajemen Proyek,Komunikasi,Pemasaran Digital,3.0,4.0,2.0,1.0,2.0,1.0,Tidak,Ya,Tidak,0.0,Onsite,Pemerintahan,Peneliti,Diplomat
Teknik Sipil,3.44,Manufaktur,Kepemimpinan,Analisis Data,Analisis Data,3.0,5.0,2.0,1.0,2.0,2.0,Ya,Tidak,Ya,2.0,Onsite,Konsultan,Peneliti,Guru
Teknologi Pangan,2.91,Kesehatan,Sql,Kepemimpinan,Desain Grafis,4.0,5.0,4.0,4.0,5.0,1.0,Ya,Tidak,Ya,3.0,Hybrid,Pertanian,Spesialis,Software Engineer
Teknologi Pangan,3.55,Keuangan,Analisis Data,Desain Grafis,Riset,1.0,1.0,5.0,2.0,3.0,2.0,Ya,Tidak,Ya,2.0,Onsite,Manufaktur,Spesialis,Dokter
Keperawatan,3.54,Pertanian,Kepemimpinan,Analisis Data,Kepemimpinan,5.0,5.0,1.0,5.0,2.0,5.0,Ya,Ya,Tidak,4.0,Remote,Teknologi,Spesialis,Data Scientist
Pariwisata,3.08,Pendidikan,Pemasaran Digital,Desain Grafis,Pemasaran Digital,1.0,4.0,5.0,3.0,3.0,4.0,Ya,Tidak,Tidak,3.0,Remote,Pemerintahan,Manajer,Guru
Hukum,3.36,Pendidikan,Machine Learning,Pemasaran Digital,Analisis Data,3.0,3.0,3.0,4.0,2.0,3.0,Ya,Tidak,Ya,3.0,Remote,Manufaktur,Wirausaha,Business Analyst
Kimia,2.87,Manufaktur,Desain Grafis,Pemasaran Digital,Desain Grafis,2.0,2.0,3.0,5.0,3.0,2.0,Ya,Tidak,Tidak,3.0,Hybrid,Media,Spesialis,Ai Engineer
Pendidikan Bahasa Inggris,3.38,Pendidikan,Komunikasi,Pemasaran Digital,Machine Learning,1.0,1.0,3.0,4.0,5.0,4.0,Tidak,Ya,Ya,3.0,Remote,Manufaktur,Peneliti,Konsultan
Pendidikan Bahasa Inggris,3.21,Pariwisata,Python,Pemasaran Digital,Riset,2.0,3.0,5.0,3.0,1.0,4.0,Tidak,Tidak,Ya,1.0,Remote,Pariwisata,Peneliti,Konsultan
Manajemen,3.45,Pemerintahan,Analisis Data,Komunikasi,Pemasaran Digital,5.0,4.0,5.0,1.0,1.0,1.0,Ya,Tidak,Tidak,4.0,Hybrid,Keuangan,Manajer,Perawat
Teknik Kimia,3.15,Keuangan,Pemasaran Digital,Kepemimpinan,Pemasaran Digital,3.0,5.0,5.0,5.0,4.0,5.0,Tidak,Tidak,Ya,2.0,Hybrid,Kesehatan,Wirausaha,Animator
Administrasi Publik,3.75,Teknologi,Pemasaran Digital,Manajemen Proyek,Kepemimpinan,5.0,5.0,2.0,1.0,5.0,4.0,Ya,Tidak,Ya,5.0,Remote,Teknologi,Spesialis,Business Analyst
Sistem Informasi,3.3,Pariwisata,Analisis Data,Desain Grafis,Kepemimpinan,4.0,5.0,5.0,4.0,1.0,2.0,Ya,Tidak,Tidak,4.0,Hybrid,Pemerintahan,Manajer,Guru
Peternakan,3.18,Pemerintahan,Kepemimpinan,Pemasaran Digital,Manajemen Proyek,2.0,2.0,3.0,5.0,3.0,2.0,Tidak,Tidak,Ya,5.0,Onsite,Media,Peneliti,Guru
Ekonomi,3.45,Manufaktur,Kepemimpinan,Sql,Pemasaran Digital,5.0,4.0,4.0,3.0,2.0,3.0,Ya,Tidak,Ya,2.0,Hybrid,Manufaktur,Wirausaha,Business Analyst
Keperawatan,3.78,Manufaktur,Riset,Pemasaran Digital,Analisis Data,1.0,5.0,5.0,2.0,2.0,1.0,Ya,Ya,Ya,0.0,Hybrid,Pemerintahan,Wirausaha,Ai Engineer
Fisika,2.76,Pertanian,Analisis Data,Desain Grafis,Manajemen Proyek,4.0,2.0,3.0,3.0,3.0,1.0,Ya,Ya,Ya,1.0,Hybrid,Keuangan,Spesialis,Analis Data
Pendidikan Bahasa Inggris,3.37,Keuangan,Kepemimpinan,Pemasaran Digital,Python,3.0,5.0,5.0,1.0,3.0,3.0,Tidak,Tidak,Ya,4.0,Hybrid,Manufaktur,Manajer,Konsultan
Statistika,3.16,Media,Kepemimpinan,Analisis Data,Python,3.0,3.0,5.0,2.0,2.0,5.0,Tidak,Tidak,Tidak,0.0,Hybrid,Kesehatan,Manajer,Software Engineer
Arsitektur,3.15,Pendidikan,Python,Kepemimpinan,Desain Grafis,2.0,4.0,3.0,3.0,3.0,5.0,Ya,Tidak,Tidak,5.0,Remote,Teknologi,Spesialis,Guru
Administrasi Publik,2.95,Pertanian,Kepemimpinan,Sql,Kepemimpinan,3.0,5.0,2.0,2.0,2.0,4.0,Ya,Tidak,Tidak,3.0,Onsite,Pertanian,Wirausaha,Konsultan
Peternakan,3.75,Pendidikan,Komunikasi,Pemasaran Digital,Sql,5.0,3.0,5.0,3.0,3.0,5.0,Ya,Ya,Ya,4.0,Onsite,Keuangan,Manajer,Perawat
Perikanan,3.3,Pendidikan,Pemasaran Digital,Manajemen Proyek,Sql,5.0,4.0,1.0,4.0,2.0,5.0,Tidak,Tidak,Ya,4.0,Hybrid,Manufaktur,Spesialis,Akuntan
Pendidikan Matematika,3.31,Pariwisata,Desain Grafis,Sql,Riset,2.0,3.0,1.0,2.0,5.0,4.0,Ya,Ya,Ya,0.0,Hybrid,Media,Wirausaha,Arsitek
Pendidikan Matematika,3.78,Pendidikan,Manajemen Proyek,Machine Learning,Analisis Data,3.0,2.0,1.0,1.0,4.0,5.0,Ya,Ya,Ya,0.0,Remote,Konsultan,Spesialis,Guru
Tata Boga,3.59,Teknologi,Komunikasi,Python,Desain Grafis,4.0,2.0,5.0,2.0,1.0,2.0,Tidak,Ya,Tidak,4.0,Onsite,Pemerintahan,Manajer,Dokter
Hukum,3.98,Pertanian,Komunikasi,Desain Grafis,Kepemimpinan,3.0,1.0,5.0,5.0,2.0,4.0,Tidak,Tidak,Tidak,5.0,Onsite,Pariwisata,Peneliti,Diplomat
Pgsd,3.26,Manufaktur,Desain Grafis,Analisis Data,Riset,4.0,2.0,2.0,3.0,2.0,4.0,Ya,Tidak,Tidak,4.0,Onsite,Keuangan,Wirausaha,Business Analyst
Farmasi,3.84,Pemerintahan,Kepemimpinan,Python,Komunikasi,2.0,1.0,4.0,2.0,5.0,2.0,Tidak,Tidak,Tidak,2.0,Hybrid,Media,Peneliti,Dokter
Hukum,3.2,Media,Analisis Data,Sql,Manajemen Proyek,3.0,3.0,3.0,3.0,4.0,3.0,Ya,Ya,Ya,2.0,Onsite,Konsultan,Wirausaha,Dokter
Kimia,3.0,Pendidikan,Desain Grafis,Pemasaran Digital,Komunikasi,4.0,5.0,3.0,3.0,4.0,4.0,Tidak,Ya,Tidak,1.0,Remote,Pertanian,Wirausaha,Software Engineer
Peternakan,3.99,Teknologi,Riset,Python,Sql,1.0,1.0,4.0,2.0,2.0,1.0,Ya,Ya,Ya,4.0,Hybrid,Pemerintahan,Spesialis,Animator
Teknik Lingkungan,3.58,Konsultan,Manajemen Proyek,Manajemen Proyek,Python,1.0,5.0,5.0,4.0,1.0,1.0,Tidak,Tidak,Ya,4.0,Onsite,Pariwisata,Manajer,Ai Engineer
Matematika,3.41,Pendidikan,Komunikasi,Pemasaran Digital,Riset,3.0,3.0,3.0,4.0,1.0,3.0,Tidak,Tidak,Ya,3.0,Remote,Manufaktur,Spesialis,Jurnalis
Teknik Elektro,2.87,Pariwisata,Desain Grafis,Riset,Manajemen Proyek,1.0,1.0,2.0,1.0,4.0,4.0,Tidak,Ya,Ya,1.0,Remote,Konsultan,Wirausaha,Dokter
Teknik Elektro,3.91,Manufaktur,Riset,Pemasaran Digital,Python,2.0,3.0,1.0,2.0,5.0,2.0,Tidak,Ya,Tidak,1.0,Onsite,Pendidikan,Wirausaha,Jurnalis
Peternakan,3.16,Keuangan,Analisis Data,Riset,Machine Learning,1.0,1.0,4.0,2.0,1.0,3.0,Tidak,Tidak,Ya,5.0,Hybrid,Media,Wirausaha,Business Analyst
Ekonomi,3.44,Pariwisata,Desain Grafis,Analisis Data,Pemasaran Digital,4.0,1.0,5.0,3.0,2.0,3.0,Ya,Tidak,Ya,3.0,Onsite,Keuangan,Wirausaha,Perawat
Bisnis Digital,2.88,Teknologi,Kepemimpinan,Manajemen Proyek,Machine Learning,3.0,1.0,2.0,1.0,2.0,4.0,Tidak,Tidak,Ya,0.0,Remote,Pemerintahan,Spesialis,Animator
